### Locus tag	Product description
ECU04_0990	hypothetical protein
ECU08_1030	hypothetical protein
ECU04_0500	hypothetical protein
ECU10_0220	Eukaryotic translation initiation factor 3 subunit I
ECU08_0830	60S RIBOSOMAL PROTEIN L4
ECU07_1010	FACT complex subunit POB3
ECU08_1410	hypothetical protein
ECU06_0420	hypothetical protein
ECU01_1430	Thymidylate synthase 1/2
ECU02_0215	ECU02_0215 protein
ECU11_0060	hypothetical protein
ECU10_1710	hypothetical protein
ECU03_1600	Similarity to putative TRANSCRIPTION INITIATION FACTOR TFIIF SMALL SUBUNIT
ECU10_0920	Ribonucleoside-diphosphate reductase large chain
ECU07_0980	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1
ECU10_1860	UPF0329 protein ECU10_1860
ECU06_0020	UPF0328 protein ECU06_0020/ECU06_1700
ECU01_0020	hypothetical protein
ECU02_1070	hypothetical protein
ECU03_0700	RNB domain-containing protein
ECU08_1670	hypothetical protein
ECU07_1370	hypothetical protein
ECU01_1095	RING-type domain-containing protein
ECU07_0350	Separase
ECU08_1090	Elongator complex protein 3
ECU02_0210	hypothetical protein
ECU08_0560	Zinc finger C2H2 protein ECU08_0560
ECU03_0670	Ribonuclease
ECU11_0480	CTP synthase
ECU09_0900	hypothetical protein
ECU08_1630	C3H1-type domain-containing protein
ECU10_1000	Kinesin motor domain-containing protein
ECU08_0500	hypothetical protein
ECU07_1090	Uncharacterized protein ECU07_1090
ECU10_0610	Pre-mRNA-splicing factor 38
ECU05_1530	Replication factor C subunit 1
ECU11_1580	Similarity to HYPOTHETICAL ABC TRANSPORTER Y719_METJA
ECU05_1390	Ste24 endopeptidase
ECU06_1680	UPF0329 protein ECU06_1680
ECU08_0230	Probable cell division protein kinase ECU08_0230
ECU10_1575	40S ribosomal protein S30
ECU10_0690	ATP-dependent rRNA helicase SPB4
ECU02_0750	60S ribosomal protein L7a
ECU10_0470	hypothetical protein
ECU06_0260	TRANSCRIPTION FACTOR OF THE E2F/DP FAMILY (DIMERIZATION PARTNER)
ECU11_2000	Structural maintenance of chromosomes protein 5
ECU01_1090	hypothetical protein
ECU02_1480	hypothetical protein
ECU06_0060	hypothetical protein
ECU09_1160	hypothetical protein
ECU07_1730	KIX_2 domain-containing protein
ECU09_1910	SMC hinge domain-containing protein
ECU07_0990	hypothetical protein
ECU08_0060	UPF0329 protein ECU01_0130/ECU01_1480/ECU08_0060
ECU03_0220	T-complex protein 1 subunit alpha
ECU05_0970	Cytosolic Fe-S cluster assembly factor NAR1
ECU07_0530	Uncharacterized membrane protein ECU07_0530
ECU11_1910	Brix domain-containing protein
ECU05_0680	S4 RNA-binding domain-containing protein
ECU05_1430	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase
ECU03_1270	Probable cytidylate kinase
ECU09_0140	tRNA N6-adenosine threonylcarbamoyltransferase
ECU02_0950	hypothetical protein
ECU08_0360	Similarity with ornithine decarboxylase DCOR_YEAST
ECU04_0180	TRANSCRIPTION ELONGATION FACTOR SII
ECU07_0050	UPF0329 protein ECU07_0050/ECU09_2020
ECU06_0960	Guanylate cyclase domain-containing protein
ECU01_1200	SAS-6_N domain-containing protein
ECU03_1460	Histone H3.1
ECU10_1760	Peptidyl-prolyl cis-trans isomerase
ECU05_0660	hypothetical protein
ECU04_1400	DNA-directed RNA polymerase subunit
ECU05_0230	hypothetical protein
ECU10_1220	hypothetical protein
ECU11_0935	ECU11_0935 protein
ECU10_1550	hypothetical protein
ECU07_0650	hypothetical protein
ECU07_0280	hypothetical protein
ECU10_0400	40S ribosomal protein S23
ECU01_1590	hypothetical protein
ECU06_0560	hypothetical protein
ECU10_0350	RAS-LIKE GTP-BINDING PROTEIN OF THE RHO1 FAMILY
ECU06_0380	Disintegrin domain-containing protein
ECU05_1100	E3 ubiquitin-protein ligase listerin
ECU02_1160	KH domain-containing protein
ECU04_1030	Homeobox protein HD-5
ECU09_1080	hypothetical protein
ECU08_1470	hypothetical protein
ECU05_1070	Probable serine/threonine-protein kinase RIO1 homolog
ECU04_1000	Probable myosin heavy chain ECU04_1000
ECU02_1380	CAAX prenyl protease
ECU03_0630	Protein kinase domain-containing protein
ECU09_1100	hypothetical protein
ECU11_0750	Pre-rRNA-processing protein PNO1
ECU09_1760	hypothetical protein
ECU03_0650	40S ribosomal protein S14
ECU09_0450	Histone H3-like protein
ECU09_0760	CCHC-type domain-containing protein
ECU09_1630	RING-type domain-containing protein
ECU05_0710	Rho-GAP domain-containing protein
ECU10_0020	UPF0329 protein ECU07_1880/ECU10_0020
ECU03_0960	hypothetical protein
ECU09_0160	hypothetical protein
ECU05_0100	hypothetical protein
ECU08_0510	hypothetical protein
ECU11_0140	Probable DNA-3-methyladenine glycosylase
ECU08_0240	G domain-containing protein
ECU05_0220	Putative WD-repeat protein
ECU09_0050	hypothetical protein
ECU02_0700	hypothetical protein
ECU07_0355	ECU07_0355 protein
ECU10_0380	mRNA cap guanine-N7 methyltransferase
ECU10_0930	TFIID_20kDa domain-containing protein
ECU01_1010	Probable ubiquitin-conjugating enzyme E2 ECU01_1010
ECU06_1400	CDT1 domain-containing protein
ECU10_1430	Histone acetyltransferase GCN5
ECU06_0860	FHA domain-containing protein
ECU06_0920	PRE-mRNA SPLICING HELICASE
ECU05_0010	Uncharacterized protein ECU01_0030
ECU02_0900	60S RIBOSOMAL PROTEIN L35A (L33)
ECU08_1950	hypothetical protein
ECU11_1310	Pyr_redox_2 domain-containing protein
ECU03_0430	WD_REPEATS_REGION domain-containing protein
ECU06_0150	TPR_REGION domain-containing protein
ECU11_1290	Probable cell division protein kinase ECU11_1290
ECU02_1090	Helicase ATP-binding domain-containing protein
ECU01_0520	hypothetical protein
ECU07_1890	UPF0329 protein ECU07_1890/ECU10_0010
ECU10_1470	Homeobox protein HD-1
ECU04_1355	S10_plectin domain-containing protein
ECU06_1340	J domain-containing protein
ECU03_0250	Chitin synthase export chaperone
ECU06_1520	TOPOISOMERASE 1
ECU08_0010	UPF0329 protein ECU01_0080/ECU01_1530/ECU02_1560/ECU04_0090/ECU08_0010/ECU08_2090
ECU05_0590	Uncharacterized protein ECU05_0590
ECU11_0260	DUF5097 domain-containing protein
ECU05_0210	hypothetical protein
ECU04_0750	Serine--tRNA ligase
ECU05_1290	hypothetical protein
ECU09_0640	Pyruvate kinase
ECU09_0010	hypothetical protein
ECU04_0570	Similarity with triose P/Pi translocator CPTR_SOLTU
ECU02_1360	Proline--tRNA ligase
ECU08_1380	Glutaredoxin-like protein ECU08_1380
ECU08_0650	RNA_pol_Rbc25 domain-containing protein
ECU03_0460	Deacetylase sirtuin-type domain-containing protein
ECU06_0990	T-complex protein 1 subunit epsilon
ECU05_1120	Probable tyrosine--tRNA ligase%2C cytoplasmic
ECU05_0670	40S ribosomal protein S6
ECU07_0400	Uncharacterized Golgi apparatus protein ECU07_0400
ECU09_1360	DNA replication licensing factor MCM7
ECU07_0540	GPN-loop GTPase 3
ECU02_0990	hypothetical protein
ECU01_0850	similarity to HYPOTHETICAL PROTEIN YE18_SCHPO
ECU10_0810	Probable kinetochore protein NDC80
ECU07_0590	PCI domain-containing protein
ECU06_1230	TRUD domain-containing protein
ECU10_0630	T-complex protein 1 subunit eta
ECU05_1350	PUA domain-containing protein
ECU09_0850	Transcription elongation factor 1 homolog
ECU07_1650	POP4 domain-containing protein
ECU02_1220	DNA ligase
ECU08_1480	Protein kinase domain-containing protein
ECU09_1970	NON MUSCLE MYOSIN HEAVY CHAIN (Isoform 2)
ECU09_0180	hypothetical protein
ECU05_0280	dUTPase domain-containing protein
ECU04_1420	hypothetical protein
ECU02_1270	Spliceosomal protein DIB1
ECU02_0560	hypothetical protein
ECU05_1260	hypothetical protein
ECU02_0890	PHD domain-containing protein
ECU03_0375	ECU03_0375 protein
ECU05_1220	t-SNARE coiled-coil homology domain-containing protein
ECU06_1090	Sulfhydryl oxidase
ECU10_0460	hypothetical protein
ECU10_0980	hypothetical protein
ECU08_2040	hypothetical protein
ECU09_1340	hypothetical protein
ECU10_1780	hypothetical protein
ECU08_0210	Protein transport protein SEC31
ECU08_0080	Dihydrofolate reductase
ECU09_0400	GTP--RNA guanylyltransferase
ECU07_1750	DNA-DIRECTED RNA POLYMERASE II 19kDa SUBUNIT
ECU04_1470	Na_H_Exchanger domain-containing protein
ECU09_0300	Rho-GAP domain-containing protein
ECU06_0840	Protein-serine/threonine phosphatase
ECU10_0770	hypothetical protein
ECU06_1570	ER lumen protein-retaining receptor
ECU11_1140	HRDC domain-containing protein
ECU04_0725	ECU04_0725 protein
ECU01_0840	RRM-domain-containing protein ECU01_0840
ECU09_0310	Telomerase reverse transcriptase
ECU11_1420	Clp R domain-containing protein
ECU11_1600	Similarity to FOLATE TRANSPORTER
ECU07_0770	Nuclear protein localization protein 4
ECU08_0870	40S ribosomal protein S4
ECU09_0395	60S ribosomal protein L39
ECU05_1010	BETA-TRANSDUCIN REPEAT CONTAINING PROTEIN
ECU07_0310	Metalloenzyme domain-containing protein
ECU10_0520	ADP%2CATP carrier protein 3
ECU11_0310	hypothetical protein
ECU09_0040	hypothetical protein
ECU01_1520	UPF0328 protein ECU01_0090/ECU01_1520/ECU02_1550/ECU08_0020
ECU08_0790	hypothetical protein
ECU03_0130	UPF0328 protein ECU03_0130
ECU07_1270	Probable serine/threonine-protein kinase MRK1 homolog
ECU08_1210	hypothetical protein
ECU02_0355	ECU02_0355 protein
ECU06_0550	hypothetical protein
ECU11_2110	UPF0328 protein ECU11_2110
ECU03_1470	hypothetical protein
ECU02_0310	Zinc finger C2H2 protein ECU02_0310
ECU01_1450	Dihydrofolate reductase
ECU06_0575	ECU06_0575 protein
ECU04_0770	hypothetical protein
ECU11_1160	POSSIBLE PROTEIN OF NUCLEAR SCAFFOLD
ECU08_1350	TLC domain-containing protein
ECU08_1600	hypothetical protein
ECU11_0520	hypothetical protein
ECU08_1190	hypothetical protein
ECU08_1680	Cyclin N-terminal domain-containing protein
ECU10_1620	hypothetical protein
ECU01_0220	hypothetical protein
ECU11_2040	hypothetical protein
ECU11_0450	Probable phosphatidylinositol 4-kinase STT4 homolog
ECU03_1450	hypothetical protein
ECU06_0390	similarity to HYPOTHETICAL PROTEIN OF THE RNASE PH FAMILY YBX3_SCHPO
ECU04_1350	hypothetical protein
ECU11_1100	Probable isoleucine--tRNA ligase%2C cytoplasmic
ECU10_1155	ECU10_1155 protein
ECU11_1720	hypothetical protein
ECU06_1390	hypothetical protein
ECU01_0390	hypothetical protein
ECU10_0750	Methionine aminopeptidase 2
ECU02_0410	RAS-LIKE GTP-BINDING PROTEIN (RHO subfamily)
ECU09_2000	hypothetical protein
ECU11_1640	INORGANIC PHOSPHATE TRANSPORTER
ECU01_0880	hypothetical protein
ECU05_0900	60S ribosomal protein L21
ECU10_1100	J domain-containing protein
ECU04_0720	Aminoacyl-tRNA hydrolase
ECU08_0050	UPF0329 protein ECU01_0120/ECU01_1490/ECU08_0050
ECU01_0240	Fructose-bisphosphate aldolase
ECU01_0720	Thioredoxin domain-containing protein
ECU07_1720	Putative RNA-binding protein
ECU09_1195	ECU09_1195 protein
ECU02_0690	J domain-containing protein
ECU04_0310	26S proteasome regulatory subunit RPN1
ECU10_0040	UPF0329 protein ECU07_1860/ECU10_0040/ECU11_2100
ECU11_1030	AAA domain-containing protein
ECU04_1060	Dolichol-phosphate mannosyltransferase subunit 1
ECU02_1190	hypothetical protein
ECU11_1120	Tr-type G domain-containing protein
ECU03_0010	UPF0328 protein ECU03_0010
ECU06_0650	Adenylate kinase
ECU02_1390	ERCC4 domain-containing protein
ECU01_1290	WD_REPEATS_REGION domain-containing protein
ECU02_1550	UPF0328 protein ECU01_0090/ECU01_1520/ECU02_1550/ECU08_0020
ECU01_1280	CS domain-containing protein
ECU06_0980	hypothetical protein
ECU11_1190	NBP35-LIKE NUCLEOTIDE BINDING PROTEIN
ECU08_0130	hypothetical protein
ECU11_0100	Uncharacterized protein ECU05_1630/ECU11_0100
ECU03_0420	FACT complex subunit
ECU01_0670	RNA polymerase II transcription factor B subunit 2
ECU01_1530	UPF0329 protein ECU01_0080/ECU01_1530/ECU02_1560/ECU04_0090/ECU08_0010/ECU08_2090
ECU08_1790	Probable cell division protein kinase ECU11_1290
ECU10_0850	hypothetical protein
ECU06_0157	ECU06_0157 protein
ECU07_1570	Probable threonine--tRNA ligase%2C cytoplasmic
ECU08_1580	20S PROTEASOME COMPONENT C3
ECU11_0460	BRCT domain-containing protein
ECU10_0940	UBC core domain-containing protein
ECU11_0360	Mediator of RNA polymerase II transcription subunit 31
ECU10_0530	Uracil-DNA glycosylase
ECU10_1810	UPF0329 protein ECU10_1810
ECU11_0650	CCHC-type domain-containing protein
ECU11_0440	hypothetical protein
ECU09_0390	NUC153 domain-containing protein
ECU02_0090	UPF0328 protein ECU02_0090
ECU06_1120	60S ribosomal protein L36
ECU03_1175	ECU03_1175 protein
ECU02_0770	40S ribosomal protein S17
ECU03_1240	Cytoplasmic tRNA 2-thiolation protein 1
ECU04_0800	Putative VESICLE TRANSPORT V-SNARE PROTEIN
ECU07_1330	eIF2B_5 domain-containing protein
ECU08_1165	ECU08_1165 protein
ECU10_0820	rRNA 2'-O-methyltransferase fibrillarin
ECU02_1140	SIGNAL PEPTIDASE 21kDa SUBUNIT
ECU10_0170	SRP54 domain-containing protein
ECU09_0660	hypothetical protein
ECU06_1580	PSP1 C-terminal domain-containing protein
ECU11_1930	Chromatin elongation factor SPT5
ECU04_0330	60S RIBOSOMAL PROTEIN L27
ECU07_0580	hypothetical protein
ECU04_1010	hypothetical protein
ECU03_0520	Heat shock protein homolog ECU03_0520
ECU09_0430	DNA polymerase
ECU07_1310	hypothetical protein
ECU08_1120	ATP-dependent DNA helicase CHL1
ECU05_0270	Glycerol-3-phosphate dehydrogenase [NAD(+)]
ECU08_1320	hypothetical protein
ECU10_0600	Replication protein A subunit
ECU03_1360	similarity to HYPOTHETICAL PROTEIN YEY6_yeast
ECU05_0560	PINc domain-containing protein
ECU05_1660	UPF0328 protein ECU05_1660/ECU11_0070
ECU09_0990	CMP/dCMP-type deaminase domain-containing protein
ECU01_1310	Frataxin%2C mitosomal
ECU10_1150	hypothetical protein
ECU11_2032	ECU11_2032 protein
ECU04_0485	Aminoacyl-tRNA hydrolase
ECU08_2020	Ricin B-type lectin domain-containing protein
ECU11_1890	hypothetical protein
ECU06_1590	hypothetical protein
ECU11_0870	Probable ethanolamine-phosphate cytidylyltransferase
ECU09_0780	hypothetical protein
ECU11_0130	Uncharacterized protein ECU05_1600/ECU11_0130
ECU04_0090	UPF0329 protein ECU01_0080/ECU01_1530/ECU02_1560/ECU04_0090/ECU08_0010/ECU08_2090
ECU03_0830	hypothetical protein
ECU07_1580	hypothetical protein
ECU02_1230	Similarity to SEC24-related protein (COPII coat)
ECU07_0880	General transcription and DNA repair factor IIH subunit TFB4
ECU02_0360	Plus3 domain-containing protein
ECU10_0840	similarity to HYPOTHETICAL PROTEIN YP68_CAEEL
ECU04_1260	hypothetical protein
ECU07_0920	Uncharacterized protein ECU07_0920
ECU08_1540	hypothetical protein
ECU01_1540	UPF0328 protein ECU01_0070/ECU01_1540/ECU02_1570/ECU04_0080/ECU08_2100
ECU11_2045	ECU10_0085 protein
ECU03_0310	40S RIBOSOMAL PROTEIN S16
ECU05_0890	Brr6_like_C_C domain-containing protein
ECU02_0760	Signal peptidase complex catalytic subunit SEC11
ECU04_0680	RAS-RELATED GTP-BINDING PROTEIN RAB11
ECU05_1180	Protein YOP1
ECU11_0990	Zinc finger C2H2 protein ECU11_0990
ECU03_1250	Phosphatidylinositol N-acetylglucosaminyltransferase
ECU08_0970	HSF_DOMAIN domain-containing protein
ECU10_0355	ECU10_0355 protein
ECU04_0060	UPF0328 protein ECU02_1590/ECU04_0060/ECU08_2120
ECU11_1040	hypothetical protein
ECU07_0410	USP domain-containing protein
ECU06_1130	hypothetical protein
ECU11_1070	Similarity to HYPOTHETICAL OXIDOREDUCTASE YAEB_SCHPO
ECU03_0260	SKIP_SNW domain-containing protein
ECU02_1120	hypothetical protein
ECU03_0020	UPF0328 protein ECU03_0020
ECU10_1120	TAF domain-containing protein
ECU03_0200	Putative deoxyribonuclease TATDN1 homolog
ECU09_1660	WD_REPEATS_REGION domain-containing protein
ECU07_1260	GUANOSINE DIPHOSPHATASE
ECU04_1360	Probable divalent-cation tolerance protein cutA homolog
ECU11_0070	UPF0328 protein ECU05_1660/ECU11_0070
ECU07_0970	hypothetical protein
ECU05_0990	DNA-DIRECTED DNA POLYMERASE ALPHA
ECU08_0030	UPF0329 protein ECU01_0100/ECU01_1510/ECU08_0030
ECU06_0100	UPF0328 protein ECU06_0100
ECU09_1990	hypothetical protein
ECU01_0560	hypothetical protein
ECU04_1710	Uncharacterized protein ECU02_0010/ECU04_1710
ECU07_1320	DUF155 domain-containing protein
ECU06_0520	hypothetical protein
ECU06_1140	Sm domain-containing protein
ECU08_0300	N-acetylglucosaminylphosphatidylinositol deacetylase
ECU03_1490	Ribosomal_L18e/L15P domain-containing protein
ECU05_1210	DNA POLYMERASE ALPHA/PRIMASE LARGE SUBUNIT
ECU11_0950	hypothetical protein
ECU02_0800	Ribosomal_L6 domain-containing protein
ECU09_0945	ECU09_0945 protein
ECU01_1180	AAA domain-containing protein
ECU08_1650	hypothetical protein
ECU01_1210	DYNAMIN-RELATED PROTEIN
ECU06_0180	hypothetical protein
ECU08_0660	hypothetical protein
ECU11_0190	HDAC_interact domain-containing protein
ECU06_1710	UPF0329 protein ECU03_0030/ECU05_0040/ECU06_0010/ECU06_1710/ECU11_0010
ECU09_1480	hypothetical protein
ECU09_1490	PROTEIN PHOSPHATASE PP2-A REGULATORY SUBUNIT A
ECU05_0085	ECU05_0085 protein
ECU10_0280	RNA cytidine acetyltransferase
ECU04_1510	tRNA-binding domain-containing protein
ECU05_1550	hypothetical protein
ECU09_2020	UPF0329 protein ECU07_0050/ECU09_2020
ECU09_1650	Nucleolar GTP-binding protein 2
ECU11_2100	UPF0329 protein ECU07_1860/ECU10_0040/ECU11_2100
ECU04_0950	TRANSCRIPTION INITIATION FACTOR TFIID
ECU04_1390	YL1_C domain-containing protein
ECU10_1890	Uncharacterized protein ECU01_0030
ECU04_0820	Nop domain-containing protein
ECU03_0600	Homeobox protein HD-8
ECU11_1130	RING-type domain-containing protein
ECU07_1790	similarity to HYPOTHETICAL PROTEIN YEY6_yeast
ECU09_1860	Elongator complex protein 1
ECU01_1470	Probable M1 family aminopeptidase 1
ECU10_0410	VWFA domain-containing protein
ECU06_1217	ECU06_1217 protein
ECU03_1030	AAA domain-containing protein
ECU03_1120	V-TYPE SODIUM ATP SYNTHASE SUBUNIT K (SODIUM ATPase PROTEOLIPID COMPONENT)
ECU05_1420	hypothetical protein
ECU08_0450	hypothetical protein
ECU03_1380	eRF1_1 domain-containing protein
ECU11_0740	hypothetical protein
ECU01_0860	Histone acetyltransferase
ECU07_0560	ABC transporter domain-containing protein
ECU03_1200	Uncharacterized protein ECU03_1200
ECU05_1650	UPF0329 protein ECU05_1650
ECU03_0540	DNA_MISMATCH_REPAIR_2 domain-containing protein
ECU10_0960	Adenylate kinase isoenzyme 6 homolog
ECU03_1220	60S ribosomal protein L3
ECU03_1550	BZIP domain-containing protein
ECU05_0870	NUCLEOTIDE TRIPHOSPHOSPHATASE OF THE HAM1 FAMILY
ECU11_1480	hypothetical protein
ECU11_0420	hypothetical protein
ECU01_0450	BHD_1 domain-containing protein
ECU11_1010	hypothetical protein
ECU07_1870	UPF0328 protein ECU07_1870/ECU10_0030
ECU06_0630	hypothetical protein
ECU07_0340	POLYADENYLATE-BINDING PROTEIN 1
ECU03_0120	Uncharacterized protein ECU03_0120
ECU04_1422	Elongin-C
ECU01_0570	DnaJ PROTEIN HOMOLOG
ECU11_1320	Putative trafficking protein particle complex subunit TRS31
ECU01_0330	hypothetical protein
ECU06_1480	METHIONINE PERMEASE
ECU11_1730	PUM-HD domain-containing protein
ECU05_1240	GAMMA GLUTAMYL TRANSPEPTIDASE
ECU08_0140	hypothetical protein
ECU09_1510	hypothetical protein
ECU10_0590	Probable phosphatidylinositol 3-kinase VPS34 homolog
ECU02_0420	hypothetical protein
ECU01_0710	hypothetical protein
ECU07_0870	hypothetical protein
ECU07_1290	hypothetical protein
ECU03_1340	hypothetical protein
ECU05_0080	hypothetical protein
ECU11_0635	Sm domain-containing protein
ECU06_0340	DNA helicase
ECU06_0290	hypothetical protein
ECU01_1160	SMC hinge domain-containing protein
ECU05_1320	S4 RNA-binding domain-containing protein
ECU03_0330	PIPK domain-containing protein
ECU08_0730	RAS-RELATED PROTEIN RAB5
ECU10_0140	VACUOLAR ATP SYNTHASE SUBUNIT D
ECU10_1510	GHMP_kinases_N domain-containing protein
ECU09_0970	Homeobox protein HD-4
ECU05_1440	Probable splicing factor ECU05_1440
ECU04_0870	SCD domain-containing protein
ECU04_0450	40S ribosomal protein S0
ECU10_1590	CTP_transf_like domain-containing protein
ECU05_1165	ECU05_1165 protein
ECU10_1140	SEC7 domain-containing protein
ECU09_1040	E1_dh domain-containing protein
ECU06_0900	Ribosomal_L18_c domain-containing protein
ECU02_0865	ECU02_0865 protein
ECU04_0710	Protein-tyrosine-phosphatase
ECU09_1640	ATP-dependent RNA helicase DHH1
ECU11_1020	LsmAD domain-containing protein
ECU08_0040	UPF0329 protein ECU01_0110/ECU01_1500/ECU08_0040
ECU08_1780	60S RIBOSOMAL PROTEIN L6
ECU04_0480	ABC TRANSPORTER
ECU07_1210	hypothetical protein
ECU09_2030	UPF0328 protein ECU09_2030
ECU01_1060	General transcription and DNA repair factor IIH helicase subunit XPB
ECU01_0980	WD-REPEAT PROTEIN SIMILAR TO ANTI-TELOMERIC SILENCING PROTEIN
ECU01_0960	TBPIP domain-containing protein
ECU03_0320	60S RIBOSOMAL PROTEIN L13
ECU10_0130	26S proteasome regulatory subunit 6B homolog
ECU02_1490	Alanine--tRNA ligase
ECU08_0135	Sm domain-containing protein
ECU08_0400	SAM_MT_RSMB_NOP domain-containing protein
ECU07_1820	60S ribosomal protein L35-1
ECU08_0280	Probable proteasome subunit beta type-4
ECU08_1230	hypothetical protein
ECU05_0420	hypothetical protein
ECU09_0425	ECU09_0425 protein
ECU02_1395	ECU02_1395 protein
ECU11_0700	hypothetical protein
ECU06_0810	hypothetical protein
ECU03_0340	PHOSPHOMANNO(GLUCO)MUTASE
ECU09_1300	SP-RING-type domain-containing protein
ECU05_1280	Double-strand break repair protein MRE11
ECU11_0320	hypothetical protein
ECU09_1920	hypothetical protein
ECU11_0780	40S ribosomal protein S7
ECU10_1130	ORIGIN RECOGNITION COMPLEX SUBUNIT 2
ECU01_0320	hypothetical protein
ECU03_0940	Zinc finger C2H2 protein ECU03_0940
ECU08_0740	ATP BINDING PROTEIN (MRP/MBP35 family)
ECU06_1560	hypothetical protein
ECU11_1560	SynN domain-containing protein
ECU02_0220	hypothetical protein
ECU07_1805	unspecified product
ECU10_1700	DYNAMIN-LIKE VACUOLAR PROTEIN SORTING PROTEIN
ECU01_1300	WD-REPEAT PROTEIN SIMILAR TO CELL DIVISION CONTROL PROTEIN 4 / SEL10 PROTEIN
ECU01_0030	Uncharacterized protein ECU01_0030
ECU10_0360	ADF-H domain-containing protein
ECU11_0640	MSP domain-containing protein
ECU09_0740	hypothetical protein
ECU07_0850	hypothetical protein
ECU09_1940	hypothetical protein
ECU10_1390	hypothetical protein
ECU02_0840	hypothetical protein
ECU11_1090	Ras modification protein ERF4
ECU01_1140	Myb-like domain-containing protein
ECU11_1460	Elongation factor 2
ECU02_1080	Ubiquitin-like domain-containing protein
ECU07_1430	hypothetical protein
ECU08_0370	KOW domain-containing protein
ECU11_1755	ECU11_1755 protein
ECU06_0970	hypothetical protein
ECU03_0790	Zinc finger C2H2 protein ECU03_0790
ECU03_0750	RRM domain-containing protein
ECU08_0170	VESICULAR TRANSPORT PROTEIN
ECU01_0790	hypothetical protein
ECU11_0810	Ribosome biogenesis protein NSA2 homolog
ECU10_1410	hypothetical protein
ECU09_1610	Threonylcarbamoyl-AMP synthase
ECU01_0170	Dihydrofolate reductase
ECU02_0490	Fe-S cluster assembly protein DRE2
ECU08_0320	DNA-DIRECTED RNA POLYMERASE I
ECU08_1370	hypothetical protein
ECU11_1630	hypothetical protein
ECU03_0410	hypothetical protein
ECU02_0850	Thioredoxin domain-containing protein
ECU09_0260	similarity to HYPOTHETICAL PROTEIN YGX3_yeast
ECU04_0370	hypothetical protein
ECU07_1840	Uncharacterized protein ECU10_0060/ECU11_2080i
ECU11_0720	Ribosomal_S10 domain-containing protein
ECU04_0590	hypothetical protein
ECU07_0450	Similarity to HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YAB9_SCHPO
ECU05_0790	hypothetical protein
ECU09_1615	RNA polymerase II transcription factor B subunit 5
ECU11_0800	MCM domain-containing protein
ECU07_1060	ATP-DEPENDENT RNA HELICASE (DEAD BOX FAMILY)
ECU10_1465	ECU10_1465 protein
ECU09_0800	THUMP domain-containing protein
ECU08_0340	Coatomer subunit delta
ECU03_0230	60S ribosomal protein L31
ECU02_1330	hypothetical protein
ECU03_1350	Glycylpeptide N-tetradecanoyltransferase
ECU01_0550	hypothetical protein
ECU08_1440	hypothetical protein
ECU05_1590	Probable DNA-3-methyladenine glycosylase
ECU07_1130	ATP-dependent DNA helicase
ECU06_0010	UPF0329 protein ECU03_0030/ECU05_0040/ECU06_0010/ECU06_1710/ECU11_0010
ECU10_1610	hypothetical protein
ECU11_1180	Phospholipase
ECU05_0320	Phosphoglycerate kinase
ECU01_1130	Putative subtilisin-like proteinase 1
ECU11_1790	MSC domain-containing protein
ECU05_0020	Uncharacterized protein ECU01_0040
ECU07_1670	hypothetical protein
ECU05_1400	Probable proteasome subunit alpha type-5
ECU11_0710	hypothetical protein
ECU03_0510	hypothetical protein
ECU11_2090	UPF0329 protein ECU11_2090
ECU09_1030	similarity to G2/mitotic specific cyclin 1 (fragment)
ECU10_0240	T-complex protein 1 subunit gamma
ECU05_1330	DBF4-type domain-containing protein
ECU01_0680	THIOREDOXIN REDUCTASE
ECU06_0580	hypothetical protein
ECU09_0410	RAD26-LIKE DNA REPAIR AND RECOMBINATION PROTEIN
ECU09_0150	PRE-mRNA SPLICING FACTOR (DEAD box family)
ECU09_0670	Histone deacetylase
ECU02_1110	hypothetical protein
ECU09_1890	Chromatin-remodeling ATPase INO80
ECU06_0935	ECU06_0935 protein
ECU01_0610	WD-REPEAT PROTEIN
ECU09_1230	hypothetical protein
ECU01_1375	ECU01_1375 protein
ECU08_1280	Uncharacterized protein ECU08_1280
ECU07_1420	Probable proteasome subunit beta type-6
ECU11_0660	Serine/threonine-protein phosphatase
ECU09_1690	Probable kinetochore protein NUF2
ECU02_0280	hypothetical protein
ECU09_1820	Uncharacterized protein ECU09_1820
ECU01_1240	hypothetical protein
ECU10_0560	Putative OXIDOREDUCTASE OF THE SHORT CHAIN DEHYDROGENASE/REDUCTASE FAMILY
ECU11_0840	AAA domain-containing protein
ECU07_1150	hypothetical protein
ECU06_1320	hypothetical protein
ECU11_1830	Heat shock protein homolog SSE1
ECU11_0530	Tryptophan--tRNA ligase
ECU09_1170	Post-GPI attachment to proteins factor 3
ECU10_0270	RNase_PH domain-containing protein
ECU08_1010	Spc7 domain-containing protein
ECU05_1190	Probable ATP-binding cassette sub-family F member 3 homolog
ECU05_0620	RAN SPECIFIC GTPASE-ACTIVATING PROTEIN
ECU10_1830	hypothetical protein
ECU02_1320	Similarity to RAD4 protein
ECU08_0890	Kinesin-like protein
ECU06_0110	hypothetical protein
ECU10_1450	Probable proteasome subunit beta type-1
ECU01_1080	SAM_MT_RSMB_NOP domain-containing protein
ECU11_1960	hypothetical protein
