### Query	Predictor	RCSB Code	Chain	sTMscore	TMscore	Dali_Z	SPscore	Length	RMSD	Seq_Id

### ECU01_0010
ECU07_1120-m1	ALPHAFOLD	1IB2	A	0.354	0.319	2.13	0.378	187	4.837	4.3
ECU07_1120-m1	ALPHAFOLD	3Q0L	B	0.351	0.329	2.44	0.355	194	4.827	3.6
ECU07_1120-m1	ALPHAFOLD	6NOD	A	0.343	0.318	1.98	0.347	187	4.891	9.1
ECU07_1120-m1	ALPHAFOLD	1M8X	B	0.354	0.332	1.76	0.374	194	4.891	4.1

### ECU07_1130
ECU07_1130-m1	RAPTORX	4CDG	A	0.695	0.577	30.78	0.973	499	3.429	42.5
ECU07_1130-m1	RAPTORX	4CDG	B	0.692	0.570	30.19	0.953	495	3.491	43.0
ECU07_1130-m1	RAPTORX	4CGZ	A	0.625	0.527	26.04	1.399	408	1.095	47.5
ECU07_1130-m1	RAPTORX	4O3M	A	0.603	0.500	21.97	1.219	397	1.802	46.3
ECU07_1130-m1	ALPHAFOLD	6YHR	A	0.602	0.466	19.28	0.918	397	3.015	32.5
ECU07_1130-m1	ALPHAFOLD	4O3M	A	0.580	0.479	20.77	0.849	408	3.148	45.3
ECU07_1130-m1	ALPHAFOLD	4CGZ	A	0.580	0.497	20.66	0.848	426	3.269	46.9
ECU07_1130-m1	ALPHAFOLD	4CDG	B	0.564	0.476	20.08	0.863	404	3.073	47.8
ECU07_1130-m1	ALPHAFOLD	4CDG	A	0.556	0.478	19.91	0.859	406	3.117	47.5
ECU07_1130-m1	RAPTORX	5LST	A	0.467	0.408	13.60	0.629	380	4.379	30.8

### ECU07_1140
ECU07_1140-m1	RAPTORX	4DGW	A	0.525	0.552	16.88	0.739	243	3.479	18.9
ECU07_1140-m1	RAPTORX	6G90	T	0.527	0.565	15.40	0.796	240	3.150	17.5
ECU07_1140-m1	RAPTORX	5ZWO	u	0.527	0.565	15.40	0.796	240	3.150	17.5
ECU07_1140-m1	RAPTORX	6AH0	w	0.518	0.558	16.02	0.706	254	4.251	8.7
ECU07_1140-m1	RAPTORX	5Z58	w	0.497	0.547	14.53	0.781	236	3.384	8.1
ECU07_1140-m1	ALPHAFOLD	6Y53	9	0.421	0.389	8.97	0.544	183	3.935	18.6
ECU07_1140-m1	ALPHAFOLD	4DGW	A	0.353	0.376	6.13	0.467	182	4.685	17.6

### ECU07_1150
ECU07_1150-m1	RAPTORX	2JTS	A	0.556	0.588	0.75	0.141	80	2.403	7.5
ECU07_1150-m1	RAPTORX	2JTR	A	0.542	0.576	0.57	0.136	83	3.003	7.2
ECU07_1150-m1	RAPTORX	2JTQ	A	0.554	0.585	0.22	0.137	85	3.107	7.1
ECU07_1150-m1	RAPTORX	3HIX	C	0.605	0.498	6.51	0.629	70	2.053	5.7
ECU07_1150-m1	RAPTORX	1WV9	A	0.518	0.445	4.71	0.529	67	2.982	4.5
ECU07_1150-m1	ALPHAFOLD	1OFU	X	0.511	0.573	6.37	0.585	88	2.649	8.0
ECU07_1150-m1	ALPHAFOLD	1G5T	A	0.585	0.661	7.72	0.590	105	3.312	12.4
ECU07_1150-m1	ALPHAFOLD	1G5R	A	0.519	0.631	6.57	0.567	102	3.548	16.7
ECU07_1150-m1	ALPHAFOLD	1OFT	B	0.500	0.563	5.66	0.565	89	3.023	7.9
ECU07_1150-m1	ALPHAFOLD	2QPO	C	0.555	0.612	7.65	0.613	90	2.612	21.1

### ECU07_1160
ECU07_1160-m1	RAPTORX	1XAK	A	0.401	0.360	1.02	0.440	44	3.173	4.5
ECU07_1160-m1	RAPTORX	2O5A	B	0.453	0.483	3.55	0.491	56	2.487	8.9
ECU07_1160-m1	RAPTORX	3UPS	A	0.350	0.443	1.72	0.444	57	3.322	10.5
ECU07_1160-m1	RAPTORX	2O5A	A	0.452	0.482	3.42	0.488	56	2.486	8.9
ECU07_1160-m1	RAPTORX	5OOL	u	0.456	0.508	3.30	0.505	58	2.590	3.4
ECU07_1160-m1	ALPHAFOLD	6ZEF	D	0.137	0.128	-1.44	0.309	15	2.350	0.0
ECU07_1160-m1	ALPHAFOLD	6ZEF	C	0.135	0.129	-1.44	0.308	15	2.332	0.0
ECU07_1160-m1	ALPHAFOLD	6ZEE	D	0.131	0.125	-1.44	0.301	15	2.464	0.0
ECU07_1160-m1	ALPHAFOLD	6ZEH	C	0.117	0.103	-1.57	0.280	11	1.483	0.0
ECU07_1160-m1	ALPHAFOLD	6ZEE	U	0.146	0.125	-1.43	0.301	15	2.423	0.0

### ECU07_1170
ECU07_1170-m1	RAPTORX	3B0V	C	0.876	0.855	45.35	1.378	303	0.883	27.4
ECU07_1170-m1	RAPTORX	3B0V	D	0.885	0.855	44.71	1.375	303	0.898	27.4
ECU07_1170-m1	RAPTORX	3B0U	X	0.924	0.879	48.58	1.406	310	0.697	28.4
ECU07_1170-m1	RAPTORX	3B0U	Y	0.923	0.878	48.48	1.401	310	0.729	28.4
ECU07_1170-m1	RAPTORX	3B0P	A	0.912	0.854	45.62	1.367	302	0.783	27.5
ECU07_1170-m1	ALPHAFOLD	3B0V	C	0.770	0.768	30.33	1.072	297	2.492	28.6
ECU07_1170-m1	ALPHAFOLD	3B0V	D	0.767	0.766	30.05	1.063	298	2.573	28.5
ECU07_1170-m1	ALPHAFOLD	3B0U	X	0.805	0.797	34.89	1.121	304	2.383	29.9
ECU07_1170-m1	ALPHAFOLD	3B0U	Y	0.807	0.796	34.90	1.117	304	2.395	29.9
ECU07_1170-m1	ALPHAFOLD	3B0P	A	0.801	0.767	31.97	1.067	298	2.680	29.9

### ECU07_1180
ECU07_1180-m1	RAPTORX	6N1L	A	0.853	0.864	18.44	1.016	125	1.051	14.4
ECU07_1180-m1	RAPTORX	6EGC	A	0.617	0.655	10.11	0.690	115	2.933	18.3
ECU07_1180-m1	RAPTORX	2LFD	A	0.594	0.616	0.48	0.140	114	3.600	10.5
ECU07_1180-m1	RAPTORX	5W93	C	0.643	0.556	8.64	0.682	99	2.643	8.1
ECU07_1180-m1	RAPTORX	2LFF	A	0.576	0.598	0.33	0.135	114	3.861	11.4
ECU07_1180-m1	ALPHAFOLD	4DWL	D	0.611	0.484	7.05	0.666	91	2.723	12.1
ECU07_1180-m1	ALPHAFOLD	1LVF	A	0.634	0.499	7.71	0.711	85	2.172	9.4
ECU07_1180-m1	ALPHAFOLD	4DWL	C	0.594	0.487	7.12	0.659	91	2.677	12.1
ECU07_1180-m1	ALPHAFOLD	4DWL	E	0.604	0.479	6.94	0.649	91	2.811	13.2
ECU07_1180-m1	ALPHAFOLD	4DWL	A	0.605	0.484	6.90	0.652	91	2.791	12.1

### ECU07_1190
ECU07_1190-m1	RAPTORX	4FFB	B	0.961	0.939	68.84	1.565	417	0.805	41.7
ECU07_1190-m1	ALPHAFOLD	6O2R	E	0.948	0.961	63.16	1.548	429	0.839	72.0
ECU07_1190-m1	ALPHAFOLD	6O2R	L	0.948	0.961	63.16	1.548	429	0.839	72.0
ECU07_1190-m1	ALPHAFOLD	6O2R	C	0.948	0.961	63.16	1.548	429	0.839	72.0
ECU07_1190-m1	ALPHAFOLD	6O2R	J	0.948	0.961	63.16	1.548	429	0.839	72.0
ECU07_1190-m1	ALPHAFOLD	6O2R	A	0.948	0.961	63.16	1.548	429	0.839	72.0
ECU07_1190-m1	RAPTORX	4U3J	B	0.963	0.930	65.22	1.533	415	0.988	41.7
ECU07_1190-m1	RAPTORX	5LXT	B	0.931	0.947	61.89	1.512	424	1.006	38.2
ECU07_1190-m1	RAPTORX	5EZY	B	0.944	0.947	63.81	1.528	424	0.991	38.0
ECU07_1190-m1	RAPTORX	5LXS	B	0.925	0.948	61.86	1.510	425	1.052	38.1

### ECU07_1200
ECU07_1200-m1	ALPHAFOLD	5MJ3	C	0.609	0.455	6.07	0.634	78	2.673	7.7
ECU07_1200-m1	ALPHAFOLD	5Z8Q	A	0.474	0.506	-0.42	0.115	89	3.130	6.7
ECU07_1200-m1	ALPHAFOLD	4NSR	F	0.528	0.409	5.13	0.552	79	3.151	5.1
ECU07_1200-m1	ALPHAFOLD	4NSR	A	0.536	0.413	5.72	0.555	82	3.259	4.9
ECU07_1200-m1	ALPHAFOLD	4NSR	E	0.532	0.411	5.61	0.551	82	3.286	4.9
ECU07_1200-m1	RAPTORX	4NSR	C	0.520	0.412	4.55	0.535	75	3.211	4.0
ECU07_1200-m1	RAPTORX	3GI7	B	0.455	0.410	2.38	0.473	73	3.168	8.2
ECU07_1200-m1	RAPTORX	4M70	B	0.494	0.396	4.06	0.549	70	2.765	11.4
ECU07_1200-m1	RAPTORX	5J0L	F	0.520	0.466	5.44	0.535	80	3.391	8.8
ECU07_1200-m1	RAPTORX	3GI7	A	0.464	0.434	2.49	0.491	77	3.268	6.5

### ECU07_1210
ECU07_1210-m1	ALPHAFOLD	7BR7	G	0.455	0.385	1.02	0.582	57	2.368	5.3
ECU07_1210-m1	ALPHAFOLD	7BQX	G	0.401	0.315	0.59	0.519	51	3.454	0.0
ECU07_1210-m1	ALPHAFOLD	6M6G	L	0.436	0.338	1.07	0.529	49	2.323	0.0
ECU07_1210-m1	ALPHAFOLD	3F89	B	0.412	0.307	1.09	0.590	40	1.995	15.0
ECU07_1210-m1	ALPHAFOLD	3BAT	B	0.421	0.308	1.00	0.638	39	1.591	2.6
ECU07_1210-m1	RAPTORX	5LSI	D	0.355	0.274	1.04	0.408	45	3.097	6.7
ECU07_1210-m1	RAPTORX	2KV7	A	0.307	0.345	-1.20	0.073	55	3.775	5.5
ECU07_1210-m1	RAPTORX	1L6T	A	0.260	0.290	-0.98	0.124	49	3.585	10.2
ECU07_1210-m1	RAPTORX	5IZS	F	0.317	0.242	0.99	0.378	48	3.652	4.2
ECU07_1210-m1	RAPTORX	5IZS	C	0.312	0.244	0.83	0.371	45	3.454	8.9

### ECU07_1230
ECU07_1230-m1	RAPTORX	4OCI	A	0.834	0.923	16.83	0.985	121	1.555	19.8
ECU07_1230-m1	ALPHAFOLD	5VT9	A	0.654	0.717	9.48	0.709	115	2.775	13.0
ECU07_1230-m1	ALPHAFOLD	5VT9	B	0.669	0.731	8.98	0.709	119	3.006	13.4
ECU07_1230-m1	ALPHAFOLD	6TJ7	B	0.668	0.729	8.73	0.703	117	2.826	13.7
ECU07_1230-m1	ALPHAFOLD	6TJ5	B	0.639	0.701	9.38	0.671	119	3.144	12.6
ECU07_1230-m1	ALPHAFOLD	6YCZ	B	0.616	0.693	8.62	0.687	114	2.803	15.8
ECU07_1230-m1	RAPTORX	2AUC	B	0.460	0.472	4.75	0.483	95	3.803	21.1
ECU07_1230-m1	RAPTORX	2AUC	A	0.403	0.434	5.06	0.398	99	4.342	18.2
ECU07_1230-m1	RAPTORX	5D67	A	0.507	0.380	3.97	0.539	64	3.028	6.2
ECU07_1230-m1	RAPTORX	2KAV	A	0.375	0.424	0.01	0.116	73	3.329	9.6

### ECU07_1240
ECU07_1240-m1	RAPTORX	6AOZ	B	0.553	0.511	4.87	0.568	68	2.814	8.8
ECU07_1240-m1	RAPTORX	3L4F	A	0.556	0.454	2.84	0.585	49	2.331	6.1
ECU07_1240-m1	RAPTORX	4N78	E	0.512	0.471	3.21	0.521	66	3.193	12.1
ECU07_1240-m1	RAPTORX	5XAU	E	0.559	0.528	4.70	0.571	71	3.004	8.5
ECU07_1240-m1	RAPTORX	1S1C	X	0.537	0.487	4.77	0.543	69	3.259	7.2
ECU07_1240-m1	ALPHAFOLD	3HPH	G	0.349	0.256	0.53	0.352	32	3.438	9.4
ECU07_1240-m1	ALPHAFOLD	6PY8	B	0.402	0.426	1.72	0.387	54	3.751	3.7
ECU07_1240-m1	ALPHAFOLD	4MAL	A	0.314	0.288	-0.27	0.406	37	2.671	16.2
ECU07_1240-m1	ALPHAFOLD	6PY8	G	0.378	0.406	1.40	0.436	47	3.565	4.3
ECU07_1240-m1	ALPHAFOLD	2B4J	D	0.326	0.365	1.02	0.388	46	3.301	15.2

### ECU07_1250
ECU07_1250-m1	RAPTORX	2L7N	A	0.503	0.541	-0.10	0.112	157	4.054	5.7
ECU07_1250-m1	RAPTORX	4F7G	B	0.514	0.465	6.45	0.482	145	4.180	2.1
ECU07_1250-m1	RAPTORX	2KVP	A	0.480	0.506	-0.92	0.109	148	4.348	4.1
ECU07_1250-m1	RAPTORX	2L10	A	0.457	0.483	-0.82	0.101	145	4.369	4.1
ECU07_1250-m1	RAPTORX	3FYQ	A	0.423	0.408	4.08	0.434	124	4.277	5.6
ECU07_1250-m1	ALPHAFOLD	5KBW	A	0.452	0.398	3.44	0.469	110	3.475	3.6
ECU07_1250-m1	ALPHAFOLD	5KBW	B	0.446	0.397	3.48	0.466	110	3.504	3.6
ECU07_1250-m1	ALPHAFOLD	4XU5	A	0.429	0.425	3.64	0.455	118	3.789	3.4
ECU07_1250-m1	ALPHAFOLD	4XU6	A	0.438	0.429	3.56	0.449	122	4.071	4.9
ECU07_1250-m1	ALPHAFOLD	4XU4	A	0.437	0.428	3.67	0.451	121	4.015	5.0

### ECU07_1260
ECU07_1260-m1	RAPTORX	5U7X	F	0.784	0.834	35.89	1.028	296	2.390	18.6
ECU07_1260-m1	RAPTORX	5U7V	A	0.739	0.790	31.57	0.938	289	2.781	21.1
ECU07_1260-m1	ALPHAFOLD	4BRM	B	0.694	0.755	24.62	0.902	283	3.144	24.4
ECU07_1260-m1	ALPHAFOLD	4BRO	B	0.685	0.747	23.95	0.889	281	3.186	25.3
ECU07_1260-m1	ALPHAFOLD	4BRL	B	0.676	0.744	22.48	0.858	283	3.267	23.0
ECU07_1260-m1	ALPHAFOLD	4BRN	B	0.681	0.754	22.81	0.866	289	3.415	22.8
ECU07_1260-m1	ALPHAFOLD	4BRK	A	0.676	0.750	23.27	0.860	285	3.285	23.5
ECU07_1260-m1	RAPTORX	4BVO	A	0.677	0.744	22.71	0.855	284	3.246	22.5
ECU07_1260-m1	RAPTORX	4BRO	A	0.677	0.740	23.16	0.879	279	3.146	21.1
ECU07_1260-m1	RAPTORX	3AAQ	A	0.676	0.740	23.74	0.860	282	3.255	22.7

### ECU07_1270
ECU07_1270-m1	RAPTORX	4ACC	A	0.904	0.929	44.48	1.351	298	0.767	33.6
ECU07_1270-m1	RAPTORX	4ACD	A	0.911	0.928	44.23	1.348	298	0.785	33.6
ECU07_1270-m1	RAPTORX	4ACG	B	0.896	0.927	43.86	1.344	298	0.807	33.6
ECU07_1270-m1	RAPTORX	4ACC	B	0.896	0.927	44.14	1.343	298	0.814	33.6
ECU07_1270-m1	RAPTORX	4ACH	B	0.886	0.927	43.44	1.343	298	0.808	33.6
ECU07_1270-m1	ALPHAFOLD	4PTG	A	0.823	0.861	35.52	1.178	287	1.601	34.1
ECU07_1270-m1	ALPHAFOLD	4PTC	A	0.829	0.873	35.49	1.172	293	1.723	33.4
ECU07_1270-m1	ALPHAFOLD	1PYX	B	0.820	0.868	35.72	1.172	291	1.764	34.0
ECU07_1270-m1	ALPHAFOLD	5OY4	A	0.829	0.879	35.71	1.167	295	1.679	33.2
ECU07_1270-m1	ALPHAFOLD	3F7Z	B	0.810	0.864	34.94	1.156	291	1.865	33.3

### ECU07_1280
ECU07_1280-m1	RAPTORX	4AMV	A	0.958	0.862	53.91	1.736	605	0.644	39.7
ECU07_1280-m1	ALPHAFOLD	6R4J	B	0.947	0.909	50.70	1.703	644	1.072	55.9
ECU07_1280-m1	ALPHAFOLD	6R4H	B	0.945	0.910	50.59	1.699	645	1.113	55.8
ECU07_1280-m1	RAPTORX	4AMV	C	0.953	0.859	52.18	1.707	605	0.836	39.7
ECU07_1280-m1	RAPTORX	4AMV	B	0.952	0.859	51.65	1.703	605	0.840	39.7
ECU07_1280-m1	ALPHAFOLD	6R4G	B	0.948	0.906	50.30	1.688	642	1.114	56.1
ECU07_1280-m1	ALPHAFOLD	6R4I	B	0.946	0.903	50.17	1.690	640	1.100	55.9
ECU07_1280-m1	ALPHAFOLD	6SVP	B	0.947	0.905	50.27	1.687	642	1.116	56.1
ECU07_1280-m1	RAPTORX	1JXA	A	0.953	0.856	50.16	1.679	605	1.013	39.7
ECU07_1280-m1	RAPTORX	1JXA	B	0.928	0.855	49.23	1.673	605	1.033	39.7

### ECU07_1290
ECU07_1290-m1	RAPTORX	6E49	C	0.877	0.932	28.60	1.144	219	1.410	11.9
ECU07_1290-m1	RAPTORX	6E49	B	0.874	0.932	28.58	1.142	219	1.415	11.9
ECU07_1290-m1	RAPTORX	6E49	A	0.873	0.932	28.56	1.142	219	1.419	11.9
ECU07_1290-m1	RAPTORX	5V7M	A	0.867	0.931	28.30	1.138	219	1.423	11.4
ECU07_1290-m1	RAPTORX	5YCO	C	0.855	0.916	25.91	1.102	220	1.683	11.4
ECU07_1290-m1	ALPHAFOLD	5V7K	A	0.805	0.861	22.10	0.957	220	2.310	11.8
ECU07_1290-m1	ALPHAFOLD	5T9D	C	0.784	0.850	22.34	0.947	218	2.333	12.4
ECU07_1290-m1	ALPHAFOLD	6CX4	A	0.801	0.860	21.96	0.958	219	2.274	11.4
ECU07_1290-m1	ALPHAFOLD	1PLR	A	0.799	0.862	21.87	0.948	221	2.364	11.8
ECU07_1290-m1	ALPHAFOLD	3IFV	C	0.765	0.833	21.06	0.923	217	2.512	12.4

### ECU07_1300
ECU07_1300-m1	RAPTORX	3KDI	A	0.477	0.364	5.44	0.589	118	3.096	5.9
ECU07_1300-m1	ALPHAFOLD	3KDI	A	0.458	0.360	5.42	0.552	119	3.331	4.2
ECU07_1300-m1	RAPTORX	3NJ1	A	0.465	0.373	5.12	0.574	122	3.301	7.4
ECU07_1300-m1	RAPTORX	5OR6	A	0.479	0.363	5.28	0.592	118	3.064	4.2
ECU07_1300-m1	ALPHAFOLD	5OR6	A	0.452	0.352	5.15	0.531	119	3.418	2.5
ECU07_1300-m1	ALPHAFOLD	3KDJ	A	0.456	0.361	5.12	0.559	120	3.337	2.5
ECU07_1300-m1	ALPHAFOLD	5OR2	A	0.457	0.356	5.11	0.544	119	3.363	1.7
ECU07_1300-m1	RAPTORX	5OR2	A	0.477	0.362	5.16	0.587	118	3.100	4.2
ECU07_1300-m1	RAPTORX	4OIC	A	0.467	0.362	5.11	0.576	119	3.109	6.7
ECU07_1300-m1	ALPHAFOLD	3QN1	A	0.456	0.356	5.02	0.545	119	3.367	1.7

### ECU07_1310
ECU07_1310-m1	RAPTORX	5J6P	A	0.835	0.673	15.59	0.908	99	1.574	11.1
ECU07_1310-m1	RAPTORX	5HJ0	A	0.851	0.673	16.05	0.906	98	1.369	11.2
ECU07_1310-m1	RAPTORX	5J6P	C	0.797	0.668	15.17	0.902	98	1.465	11.2
ECU07_1310-m1	RAPTORX	5HJ0	B	0.818	0.670	15.71	0.904	98	1.467	11.2
ECU07_1310-m1	RAPTORX	5HJ0	C	0.811	0.668	15.61	0.901	98	1.482	11.2
ECU07_1310-m1	ALPHAFOLD	5HJ0	B	0.665	0.551	9.87	0.688	92	2.562	10.9
ECU07_1310-m1	ALPHAFOLD	5HJ0	C	0.673	0.549	9.78	0.682	92	2.585	10.9
ECU07_1310-m1	ALPHAFOLD	5J6P	C	0.682	0.550	9.39	0.685	93	2.704	10.8
ECU07_1310-m1	ALPHAFOLD	5HJ0	A	0.633	0.538	9.34	0.673	92	2.724	10.9
ECU07_1310-m1	ALPHAFOLD	5J6P	A	0.652	0.549	8.92	0.680	96	2.936	10.4

### ECU07_1320
ECU07_1320-m1	RAPTORX	5CHS	A	0.588	0.563	16.72	0.923	201	1.845	10.0
ECU07_1320-m1	RAPTORX	5CHS	B	0.557	0.576	16.78	0.900	207	2.033	9.7
ECU07_1320-m1	ALPHAFOLD	5N77	D	0.460	0.383	5.79	0.479	171	4.173	9.4
ECU07_1320-m1	ALPHAFOLD	4CY4	B	0.421	0.424	4.12	0.424	194	4.777	9.3
ECU07_1320-m1	ALPHAFOLD	4EV6	B	0.421	0.424	4.12	0.424	194	4.777	9.3
ECU07_1320-m1	ALPHAFOLD	4CY4	E	0.416	0.422	4.27	0.433	190	4.689	8.4
ECU07_1320-m1	ALPHAFOLD	6YE4	B	0.476	0.356	3.89	0.506	155	3.567	7.1

### ECU07_1330
ECU07_1330-m1	ALPHAFOLD	5L7S	A	0.330	0.355	1.40	0.367	137	4.327	10.9
ECU07_1330-m1	ALPHAFOLD	5MFJ	A	0.300	0.305	-1.42	0.278	131	5.007	14.5
ECU07_1330-m1	ALPHAFOLD	5MFI	B	0.252	0.264	-0.70	0.297	110	4.690	9.1
ECU07_1330-m1	ALPHAFOLD	4D4E	B	0.264	0.262	-1.08	0.282	119	5.314	10.9
ECU07_1330-m1	ALPHAFOLD	5MFB	B	0.313	0.300	-0.45	0.285	131	5.015	16.0

### ECU07_1340
ECU07_1340-m1	RAPTORX	6EM5	w	0.577	0.474	20.21	1.123	281	2.621	44.1
ECU07_1340-m1	ALPHAFOLD	6EM5	w	0.426	0.357	14.28	1.127	201	1.228	52.7

### ECU07_1350
ECU07_1350-m1	RAPTORX	2CYD	G	0.947	0.968	26.36	1.156	151	0.529	13.9
ECU07_1350-m1	RAPTORX	2CYD	A	0.947	0.968	26.36	1.155	151	0.530	13.9
ECU07_1350-m1	RAPTORX	2CYD	B	0.947	0.968	26.35	1.155	151	0.530	13.9
ECU07_1350-m1	RAPTORX	2CYD	D	0.947	0.968	26.35	1.155	151	0.532	13.9
ECU07_1350-m1	RAPTORX	2CYD	H	0.947	0.968	26.35	1.155	151	0.532	13.9
ECU07_1350-m1	ALPHAFOLD	6WM3	7	0.879	0.884	20.54	1.025	147	1.651	25.2
ECU07_1350-m1	ALPHAFOLD	6XBW	n	0.878	0.884	19.84	1.030	147	1.668	25.2
ECU07_1350-m1	ALPHAFOLD	6WM2	4	0.881	0.884	19.92	1.025	147	1.673	25.2
ECU07_1350-m1	ALPHAFOLD	6WLW	4	0.880	0.883	20.23	1.031	146	1.502	25.3
ECU07_1350-m1	ALPHAFOLD	6VQ6	j	0.872	0.883	20.29	1.027	147	1.570	25.2

### ECU07_1360
ECU07_1360-m1	RAPTORX	2YMS	A	0.535	0.491	5.97	0.634	102	2.972	7.8
ECU07_1360-m1	ALPHAFOLD	1A79	D	0.549	0.602	9.46	0.618	125	3.002	20.8
ECU07_1360-m1	ALPHAFOLD	2CV8	A	0.508	0.568	8.19	0.622	115	2.838	13.9
ECU07_1360-m1	ALPHAFOLD	1A79	C	0.539	0.584	8.83	0.590	125	3.318	20.0
ECU07_1360-m1	ALPHAFOLD	1A79	A	0.534	0.580	8.51	0.585	124	3.334	20.2
ECU07_1360-m1	ALPHAFOLD	3P1Z	B	0.544	0.609	8.99	0.626	123	2.836	20.3
ECU07_1360-m1	RAPTORX	6R5Z	D	0.585	0.489	7.71	0.655	100	2.716	9.0
ECU07_1360-m1	RAPTORX	6R5Z	F	0.583	0.486	7.49	0.647	101	2.913	8.9
ECU07_1360-m1	RAPTORX	6R5Z	C	0.582	0.486	7.66	0.652	100	2.732	9.0
ECU07_1360-m1	RAPTORX	6R5Z	B	0.577	0.484	7.49	0.643	101	2.932	8.9

### ECU07_1370
ECU07_1370-m1	RAPTORX	4P6Q	A	0.649	0.678	21.05	1.054	179	1.702	10.1
ECU07_1370-m1	RAPTORX	6N7R	F	0.420	0.321	5.33	0.546	96	3.288	10.4
ECU07_1370-m1	RAPTORX	6N7X	F	0.403	0.324	4.73	0.499	104	4.077	9.6
ECU07_1370-m1	RAPTORX	5ZWN	V	0.407	0.318	4.80	0.539	96	3.342	10.4
ECU07_1370-m1	RAPTORX	3DXB	B	0.374	0.347	4.69	0.460	112	3.774	17.9
ECU07_1370-m1	ALPHAFOLD	1U1L	A	0.347	0.265	2.69	0.484	85	3.634	11.8
ECU07_1370-m1	ALPHAFOLD	1U1R	A	0.360	0.281	3.16	0.461	93	3.902	7.5
ECU07_1370-m1	ALPHAFOLD	2LYV	A	0.308	0.347	-0.93	0.086	119	4.553	5.9
ECU07_1370-m1	ALPHAFOLD	5WWF	A	0.365	0.300	2.88	0.289	141	5.704	7.1
ECU07_1370-m1	ALPHAFOLD	2JHE	B	0.317	0.273	2.08	0.361	98	4.030	6.1

### ECU07_1380
ECU07_1380-m1	RAPTORX	3DCG	C	0.641	0.502	8.29	0.774	74	1.698	20.3
ECU07_1380-m1	RAPTORX	6P59	W	0.630	0.502	8.08	0.765	75	1.953	20.0
ECU07_1380-m1	RAPTORX	6P59	D	0.637	0.505	8.27	0.770	75	1.863	20.0
ECU07_1380-m1	RAPTORX	4N9F	P	0.655	0.494	7.76	0.776	73	1.761	20.5
ECU07_1380-m1	RAPTORX	4N9F	s	0.637	0.493	7.97	0.775	72	1.643	20.8
ECU07_1380-m1	ALPHAFOLD	6P59	D	0.627	0.498	8.47	0.758	74	1.584	20.3
ECU07_1380-m1	ALPHAFOLD	6P59	W	0.635	0.498	8.31	0.743	75	1.789	20.0
ECU07_1380-m1	ALPHAFOLD	2FNJ	B	0.627	0.499	8.41	0.745	75	1.799	20.0
ECU07_1380-m1	ALPHAFOLD	1VCB	J	0.629	0.497	8.30	0.757	74	1.604	20.3
ECU07_1380-m1	ALPHAFOLD	1VCB	D	0.629	0.497	8.30	0.757	74	1.604	20.3

### ECU07_1390
ECU07_1390-m1	ALPHAFOLD	5JSB	D	0.474	0.373	2.48	0.563	76	2.589	10.5
ECU07_1390-m1	ALPHAFOLD	5JSB	B	0.478	0.372	2.50	0.565	76	2.600	10.5
ECU07_1390-m1	ALPHAFOLD	5JSB	F	0.482	0.378	2.59	0.569	78	2.726	10.3
ECU07_1390-m1	ALPHAFOLD	5JSB	L	0.481	0.377	2.59	0.567	78	2.740	10.3
ECU07_1390-m1	ALPHAFOLD	5JSB	J	0.476	0.371	2.51	0.563	76	2.604	10.5
ECU07_1390-m1	RAPTORX	2OAR	E	0.359	0.295	2.32	0.426	72	3.847	5.6
ECU07_1390-m1	RAPTORX	2OAR	B	0.368	0.304	2.43	0.445	72	3.706	6.9
ECU07_1390-m1	RAPTORX	2OAR	D	0.362	0.297	2.13	0.432	72	3.849	5.6
ECU07_1390-m1	RAPTORX	2OAR	C	0.362	0.299	2.55	0.441	72	3.734	6.9
ECU07_1390-m1	RAPTORX	2OAR	A	0.359	0.305	1.35	0.430	72	3.808	2.8

### ECU07_1410
ECU07_1410-m1	ALPHAFOLD	3CCJ	R	0.890	0.784	21.10	1.072	150	1.043	30.7
ECU07_1410-m1	ALPHAFOLD	3G71	R	0.913	0.784	21.45	1.071	150	1.052	30.7
ECU07_1410-m1	ALPHAFOLD	3I56	R	0.910	0.784	21.30	1.070	150	1.053	30.7
ECU07_1410-m1	ALPHAFOLD	3CCU	R	0.903	0.784	21.35	1.070	150	1.058	30.7
ECU07_1410-m1	ALPHAFOLD	3G4S	R	0.909	0.783	21.20	1.069	150	1.058	30.7
ECU07_1410-m1	RAPTORX	3OW2	Q	0.891	0.771	20.55	1.034	149	1.329	30.2
ECU07_1410-m1	RAPTORX	3CC7	R	0.891	0.772	20.88	1.042	149	1.277	30.2
ECU07_1410-m1	RAPTORX	3CCU	R	0.892	0.773	20.79	1.042	149	1.273	30.2
ECU07_1410-m1	RAPTORX	3CCV	R	0.891	0.771	20.57	1.032	149	1.331	30.2
ECU07_1410-m1	RAPTORX	3G71	R	0.901	0.772	20.73	1.041	149	1.278	30.2

### ECU07_1420
ECU07_1420-m1	RAPTORX	6QM7	M	0.929	0.710	34.01	1.276	208	0.691	33.7
ECU07_1420-m1	RAPTORX	6QM7	a	0.929	0.710	33.97	1.276	208	0.692	33.7
ECU07_1420-m1	RAPTORX	6QM8	a	0.906	0.701	30.71	1.242	208	0.925	33.7
ECU07_1420-m1	RAPTORX	6QM8	M	0.904	0.701	30.72	1.242	208	0.926	33.7
