ECU01_0190	serine hydroxymethyltransferase
ECU09_1790	vacuolar-type H+-ATPase subunit I
ECU09_1800	DNA helicase
ECU09_1805	small nuclear ribonucleoprotein
ECU09_1810	hypothetical protein
ECU09_1820	hypothetical protein
ECU09_1830	hypothetical protein
ECU09_1840	ATP-dependent 26S proteasome regulatory subunit
ECU09_1845	tRNA-His
ECU09_1850	PHD zinc finger domain-containing protein
ECU09_1860	IkappaB kinase complex subunit IKAP
ECU09_1870	undecaprenyl pyrophosphate synthase
ECU09_1880	hypothetical protein
ECU09_1890	DNA/RNA helicase
ECU09_1900	hypothetical protein
ECU09_1910	structural maintenance of chromosomes protein
ECU09_1920	hypothetical protein
ECU09_1930	hypothetical protein
ECU09_1940	hypothetical protein
ECU09_1950	membrane traffic protein
ECU09_1960	deoxycytidylate deaminase
ECU09_1970	myosin heavy chain
ECU09_1980	hypothetical protein
ECU09_1990	hypothetical protein
ECU09_2000	hypothetical protein
ECU09_2010	hypothetical protein
ECU10_0140	vacuolar-type H+-ATPase subunit D
ECU10_0150	hypothetical protein
ECU10_0155	tRNA-Asn
ECU10_0160	60S ribosomal protein L23a
ECU10_0170	signal recognition particle GTPase
ECU10_0180	ribose 5-phosphate isomerase
ECU10_0190	26S proteasome regulatory complex subunit Rpn7
ECU10_0195	tRNA-Val
ECU10_0200	hypothetical protein
ECU10_0210	DNA-directed RNA polymerase III subunit C34
ECU10_0220	hypothetical protein
ECU10_0230	hypothetical protein
ECU10_0240	T-complex protein 1 subunit gamma
ECU10_0250	DNA-directed RNA polymerase subunit B
ECU10_0260	histone H3/H4-like protein
ECU10_0270	RNase PH-like protein
ECU10_0280	putative P-loop ATPase/acetyltransferase fusion
ECU10_0290	U1 snRNP-specific protein C
ECU10_0295	tRNA-Ser
ECU10_0300	acyl-CoA cholesterol acyltransferase
ECU10_0310	1-acyl-SN-glycerol-3-phosphate acyltransferase
ECU10_0320	kinesin-like protein
ECU10_0330	hypothetical protein
ECU10_0340	inorganic pyrophosphatase
ECU10_0350	Rho GTPase
ECU10_0360	putative actin depolymerisation factor
ECU10_0370	hypothetical protein
ECU10_0380	mRNA capping enzyme
ECU10_0390	hypothetical protein
ECU10_0400	40S ribosomal protein S23
ECU10_0410	26S proteasome regulatory complex subunit
ECU10_0420	ATP/ADP translocase
ECU10_0430	hypothetical protein
ECU10_0440	ATP-dependent rRNA helicase
ECU10_0450	hypothetical protein
ECU10_0460	hypothetical protein
ECU10_0470	hypothetical protein
ECU10_0475	tRNA-Pro
ECU10_0480	fragile histidine family hydrolase
ECU10_0490	hypothetical protein
ECU10_0500	hypothetical protein
ECU10_0510	3-hydroxy-3-methylglutaryl CoA synthase
ECU10_0520	ATP/ADP translocase
ECU10_0530	uracil-DNA glycosylase
ECU10_0540	ATP/ADP translocase
ECU10_0550	20S proteasome subunit alpha
ECU10_0560	putative short chain dehydrogenase
ECU10_0570	AGC serine/threonine kinase
ECU10_0580	putative TFIIF-interacting CTD phosphatase
ECU10_0590	phosphoinositide 3-kinase
ECU10_0600	replication factor A protein 1
ECU10_0610	hypothetical protein
ECU10_0620	importin
ECU10_0630	T-complex protein 1 subunit eta
ECU10_0640	dynein heavy chain
ECU10_0650	hypothetical protein
ECU10_0660	MYST histone acetyltransferase
ECU10_0670	ribosomal biogenesis protein
ECU10_0680	HrpA-like helicase
ECU10_0690	ATP-dependent RNA helicase
ECU10_0700	translation initiation factor 2B subunit
ECU10_0710	MutS-like mismatch repair ATPase
ECU10_0720	ankyrin repeat domain-containing protein
ECU10_0730	hypothetical protein
ECU10_0740	hypothetical protein
ECU10_0750	methionine aminopeptidase 2
ECU10_0760	transcription initiation factor TFIID subunit
ECU10_0770	hypothetical protein
ECU10_0780i	replication factor C small subunit
ECU10_0790	hypothetical protein
ECU10_0800	putative methyltransferase
ECU10_0805	hypothetical protein
ECU10_0810	chromosome segregation protein
ECU10_0820	fibrillarin
ECU10_0830	HMG-like nuclear protein
ECU10_0840	U1 snRNP subunit
ECU10_0850	hypothetical protein
ECU10_0860	hypothetical protein
ECU10_0870	glycerol-3-phosphate dehydrogenase
ECU10_0880	hypothetical protein
ECU10_0890	long-chain acyl-CoA synthetase
ECU10_0900	putative RNA-processing beta-lactamase-fold
ECU10_0910	long-chain acyl-CoA synthetase
ECU10_0920	ribonucleoside-diphosphate reductase
ECU10_0930	transcription initiation factor TFIID subunit
ECU10_0940	ubiquitin-conjugating enzyme
ECU10_0950	hypothetical protein
ECU10_0960	putative kinase
ECU10_0970	hypothetical protein
ECU10_0980	hypothetical protein
ECU10_0990	60S ribosomal protein L27
ECU10_1000	kinesin-like protein
ECU10_1010	hypothetical protein
ECU10_1020	hypothetical protein
ECU10_1030	hypothetical protein
ECU10_1040	V-type ATP synthase subunit B
ECU10_1050	hypothetical protein
ECU10_1060	phosphoglyceromutase
ECU10_1070	hypothetical protein
ECU10_1080	DNA polymerase alpha subunit B
ECU10_1090	chromatin remodeling protein
ECU10_1100	DnaJ-like protein
ECU10_1110	polyadenylate-binding protein
ECU10_1115	tRNA-Ala
ECU10_1120	transcription initiation factor TFIID subunit
ECU10_1130	origin recognition complex subunit 2
ECU10_1140	guanine nucleotide exchange factor
ECU10_1150	hypothetical protein
ECU10_1160	hypothetical protein
ECU10_1170	Rad14-like DNA excision repair protein
ECU10_1180	ubiquitin fusion-degradation protein
ECU10_1190	hypothetical protein
ECU10_1200i	casein kinase II subunit beta
ECU10_1210	DNA polymerase epsilon
ECU10_1220	hypothetical protein
ECU10_1230	mitochondrial ABC transporter
ECU10_1240	importin beta
ECU10_1250	hypothetical protein
ECU10_1260	lysophospholipid acyltransferase
ECU10_1270	Dullard-like phosphatase domain-containing
ECU10_1280	PP2A-like protein phosphatase
ECU10_1290	hypothetical protein
ECU10_1300	60S ribosomal protein L44
ECU10_1310i	ubiquitin-conjugating enzyme E2
ECU10_1320	SNF2-like helicase
ECU10_1330	nucleotide excision repair endonuclease NEF1
ECU10_1340	Rrp4-like RNA-binding protein
ECU10_1350	putative RNA-processing beta-lactamase-fold
ECU10_1360	hypothetical protein
ECU10_1370	phosphatidylinositol 5-phosphate phosphatase
ECU10_1380	ubiquitin-protein ligase
ECU10_1390	hypothetical protein
ECU10_1400	hypothetical protein
ECU10_1410	hypothetical protein
ECU10_1420	ATP-dependent 26S proteasome regulatory subunit
ECU10_1430	chromatin remodeling transcription factor
ECU10_1440	PAP2-like phosphatidic acid phosphatase
ECU10_1450	proteasome beta type-6 subunit
ECU10_1460	glutaminyl-tRNA synthetase
ECU10_1470	putative homeodomain-containing transcription
ECU10_1480	hypothetical protein
ECU10_1490	hypothetical protein
ECU10_1500	hypothetical protein
ECU10_1505	putative zinc finger protein
ECU10_1510	mevalonate-like kinase
ECU10_1520	White-like ABC transporter
ECU10_1530	hypothetical protein
ECU10_1540	ubiquitin-protein ligase
ECU10_1550	hypothetical protein
ECU10_1560	hypothetical protein
ECU10_1570i	40S ribosomal protein S24
ECU10_1575	40S ribosomal protein S30
ECU10_1580	Sm-like ribonucleoprotein subunit D2
ECU10_1590	choline-phosphate cytidylyltransferase
ECU10_1600	Mnd1-like meiotic recombination protein
ECU10_1610	hypothetical protein
ECU10_1620	hypothetical protein
ECU10_1630	hypothetical protein
ECU10_1640	superfamily I DNA/RNA helicase
ECU10_1650	hypothetical protein
ECU10_1660	spore wall protein Swp1b
ECU10_1680	ATP-dependent RNA helicase
ECU10_1690	enolase
ECU10_1695	hypothetical protein
ECU10_1700i	dynamin-like vacuolar protein-sorting protein
ECU10_1710	hypothetical protein
ECU10_1720	hydroxymethylglutaryl-coenzyme A reductase
ECU10_1730	hypothetical protein
ECU10_1740	cellular morphogenesis/cytokinesis regulation
ECU10_1750	Spc97/Spc98-like spindle pole body protein
ECU10_1760	cyclophilin-type peptidylprolyl cis-trans
ECU10_1770i	leucyl aminopeptidase
ECU10_1780	hypothetical protein
ECU10_1790	glycyl-tRNA synthetase
ECU10_1800	hypothetical protein
ECU10_1810	hypothetical protein
ECU11_0060	hypothetical protein
ECU11_0070	hypothetical protein
ECU11_0080	hypothetical protein
ECU11_0090	hypothetical protein
ECU11_0100	hypothetical protein
ECU11_0110	hypothetical protein
ECU11_0120	hypothetical protein
ECU11_0130	hypothetical protein
ECU11_0140	3-methyladenine DNA glycosylase
ECU11_0150	hypothetical protein
ECU11_0170	leucine rich repeat domain-containing protein
ECU11_0180	protein kinase domain-containing protein
ECU11_0190	putative transcription regulator protein
ECU11_0200	hypothetical protein
ECU11_0210	ubiquitin-like domain containing protein
ECU11_0220	putative CDK-activating kinase assembly factor
ECU11_0230	triosephosphate isomerase
ECU11_0240	putative exportin 1
ECU11_0250	hypothetical protein
ECU11_0260	hypothetical protein
ECU11_0270	hypothetical protein
ECU11_0280	hypothetical protein
ECU11_0290	hypothetical protein
ECU11_0300	dephospho-CoA kinase
ECU11_0310	hypothetical protein
ECU11_0320	hypothetical protein
ECU11_0330	hypothetical protein
ECU11_0340	zinc finger domain-containing protein
ECU11_0350	putative RAB escort protein
ECU11_0360	putative Rad5p-binding protein
ECU11_0370	RNA polymerase subunit beta
ECU11_0373	hypothetical protein
ECU11_0375	tRNA-Leu
ECU11_0380	hypothetical protein
ECU11_0390	exocyst complex subunit SEC6
ECU11_0400	putative transmembrane adaptor Erv26
ECU11_0410	hypothetical protein
ECU11_0415	tRNA-Met
ECU11_0420	hypothetical protein
ECU11_0430	Sel1 repeat domain-containing protein
ECU11_0440	RNP domain-containing protein
ECU11_0450	phosphoinositide 4-kinase
ECU11_0460	60S ribosomal subunit biogenesis protein
ECU11_0470	kinesin motor domain-containing protein
ECU11_0480	GATase1 CTP synthase
ECU11_0490	hypothetical protein
ECU11_0500	RNP domain-containing protein
ECU11_0505	BolA-like protein
ECU11_0510	polysaccharide deacetylase domain-containing
ECU11_0520	hypothetical protein
ECU11_0530	aminoacyl-tRNA ligase
ECU11_0540	HSP70-like protein
ECU11_0550	putative GTPase activating protein for Arf
ECU11_0560	hypothetical protein
ECU11_0570	proteasome regulatory subunit
ECU11_0580	hypothetical protein
ECU11_0590	RNA polymerase subunit AC19
ECU11_0600	hypothetical protein
ECU11_0610	pre-mRNA cleavage and polyadenylation
ECU11_0620	CDP-alcohol phosphatidyltransferase
ECU11_0630	hypothetical protein
ECU11_0635	hypothetical protein
ECU11_0640	inositol metabolism VAMP-associated protein
ECU11_0650	zinc knuckle domain-containing protein
ECU11_0660	PP1 serine/threonine phosphatase
ECU11_0670	eukaryotic translation initiation factor eIF2A
ECU11_0680	hypothetical protein
ECU11_0690	GDP-mannose pyrophosphorylase
ECU11_0700	hypothetical protein
ECU11_0710	hypothetical protein
ECU11_0720	ribosomal protein S10
ECU11_0730	class 2 transcription repressor NC2 beta
ECU11_0740	hypothetical protein
ECU11_0750	putative RNA-binding protein
ECU11_0760	putative exonuclease
ECU11_0770	putative mRNA deadenylase
ECU11_0780	hypothetical protein
ECU11_0790	Sec23-like protein transport protein
ECU11_0800	minichromosome maintenance protein
ECU11_0810	putative 40S ribosomal protein S8
ECU11_0820	DNA repair protein Rad51
ECU11_0830	transcription initiation factor TFIID subunit
ECU11_0840	AAA family ATPase
ECU11_0850	hypothetical protein
ECU11_0860	HrpA-like helicase
ECU11_0870	putative ethanolamine-phosphate
ECU11_0880	CTP synthetase
ECU11_0890	methionyl-tRNA synthetase
ECU11_0900	U2 snRNP spliceosome subunit
ECU11_0910	hypothetical protein
ECU11_0920	hypothetical protein
ECU11_0930i	translation initiation factor 2 subunit alpha
ECU11_0940	HS6-type ribosomal protein
ECU11_0950	hypothetical protein
ECU11_0960	serine/threonine kinase
ECU11_0970	hypothetical protein
ECU11_0980	putative synaptobrevin/VAMP-like protein
ECU11_0990	hypothetical protein
ECU11_1000	hypothetical protein
ECU11_1010	hypothetical protein
ECU11_1020	hypothetical protein
ECU11_1030	putative AAA+ class ATPase
ECU11_1040	hypothetical protein
ECU11_1050	putative proton-dependent oligopeptide transport
ECU11_1060	hypothetical protein
ECU11_1070	hypothetical protein
ECU11_1080	superoxide dismutase
ECU11_1090	hypothetical protein
ECU11_1100	isoleucyl-tRNA synthetase
ECU11_1110	hypothetical protein
ECU11_1120	translation elongation factor 2
ECU11_1130	hypothetical protein
ECU11_1140	hypothetical protein
ECU11_1150	putative membrane protein
ECU11_1160	hypothetical protein
ECU11_1170	hypothetical protein
ECU11_1180	phospholipase D
ECU11_1190	putative nucleotide binding protein
ECU11_1200	putative mitochondrial ABC transporter
ECU11_1210	hypothetical protein
ECU11_1220	hypothetical protein
ECU11_1230	hypothetical protein
ECU11_1240	hypothetical protein
ECU11_1250	hypothetical protein
ECU11_1255	tRNA-Gly
ECU11_1260	putative DNA mismatch repair enzyme
ECU11_1270	DNA helicase
ECU11_1280i	V/A-type ATP synthase catalytic subunit A
ECU11_1290	cyclin-dependent protein kinase
ECU11_1300	hypothetical protein
ECU11_1310	hypothetical protein
ECU11_1320	transport protein particle
ECU11_1330	putative transcription factor
ECU11_1340	putative ABC-like lipid transport protein
ECU11_1350	translation initiation factor
ECU11_1360	hypothetical protein
ECU11_1370	negative regulator of transcription cell
ECU11_1380i	60S ribosomal protein L15
ECU11_1390	polyadenylation factor I complex subunit
ECU11_1400	putative DNA-directed RNA polymerase
ECU11_1410	hypothetical protein
ECU11_1420	chaperone protease ATP binding subunit
ECU11_1430	diphthamide biosynthesis methyltransferase
ECU11_1440	hypothetical protein
ECU11_1450	hypothetical protein
ECU11_1460	translation elongation factor
ECU11_1470	class 2 transcription repressor NC2 subunit
ECU11_1480	hypothetical protein
ECU11_1490	hypothetical protein
ECU11_1500	NIMA-like serine/threonine kinase
ECU11_1510	putative inorganic ion transport protein
ECU11_1520	putative S-adenosylmethionine-dependent
ECU11_1530	hypothetical protein
ECU11_1540	hexokinase
ECU11_1550i	putative endonuclease
ECU11_1560	t-SNARE complex subunit
ECU11_1570	hypothetical protein
ECU11_1580	ATPase domain 1 of RNase L inhibitor
ECU11_1590	putative spindle pole body associated protein
ECU11_1600	hypothetical protein
ECU11_1610	tRNA pseudouridine synthase domain-containing
ECU11_1620i	40S ribosomal protein S19
ECU11_1630	hypothetical protein
ECU11_1640	inorganic phosphate transport protein
ECU11_1650	hypothetical protein
ECU11_1660	transcriptional repressor
ECU11_1670	putative proteasome
ECU11_1680	hypothetical protein
ECU11_1690	hypothetical protein
ECU11_1700	putative GTPase-activating protein
ECU11_1710	hypothetical protein
ECU11_1720	hypothetical protein
ECU11_1730	RNA binding repeat domain-containing protein
ECU11_1740	putative amino acid permease
ECU11_1750	hypothetical protein
ECU11_1760	importin beta binding domain-containing protein
ECU11_1770	cysteine desulfurase/transaminase
ECU11_1780	UDP-N-acetylglucosamine pyrophosphorylase
ECU11_1790	Man1-Src1p-C-terminal domain-containing protein
ECU11_1800	hypothetical protein
ECU11_1810	polyprenyl synthetase domain-containing protein
ECU11_1820	hypothetical protein
ECU11_1830	putative heat shock protein
ECU11_1840	hypothetical protein
ECU11_1850	hypothetical protein
ECU11_1860	hypothetical protein
ECU11_1870	putative major facilitator superfamily protein
ECU11_1880	putative major facilitator superfamily permease
ECU11_1890	hypothetical protein
ECU11_1900	hypothetical protein
ECU11_1910	brix domain-containing protein
ECU11_1920	putative membrane protein
ECU11_1930	SPT5-like transcription initiation protein
ECU11_1940	brix domain-containing protein
ECU11_1950	septin-like protein
ECU11_1960	hypothetical protein
ECU11_1970	hypothetical protein
ECU11_1980	protein kinase
ECU11_1990	putative ubiquitin-protein ligase
ECU11_2000	SMC N-terminal domain-containing protein
ECU11_2010	hypothetical protein
ECU11_2020	kinesin motor domain-containing protein
ECU11_2030	STE-like transcription factor
ECU11_2033	hypothetical protein
ECU11_2037	hypothetical protein
ECU11_2040	hypothetical protein
